發生時間,發生地點,死亡受傷人數,車種,經度,緯度
110年01月31日 00時19分00秒,臺中市和平區達觀里東崎街1段前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,120.924441,24.306601
110年01月31日 09時26分00秒,新北市樹林區新北市樹林區大安路與長壽街,死亡1;受傷0,普通重型-機車;自用-小客車,121.426237,25.002193
110年01月31日 13時22分31秒,花蓮縣花蓮市中正路與新興路口以北70公尺處外側路沿,死亡1;受傷0,普通重型-機車,121.614021,23.982046
110年01月31日 14時00分32秒,新竹縣芎林鄉富林路一段與五和街口附近,死亡1;受傷0,自用-小客車;自用-小客車;自用-小客車;自用-小客車;乘客-人,121.119956,24.736322
110年01月31日 22時49分00秒,高雄市大寮區國華街 / 高雄市大寮區無名路,死亡1;受傷0,自用-小客車;普通重型-機車,120.399011,22.625047
110年02月01日 05時32分00秒,南投縣埔里鎮中山路四段62號前,死亡1;受傷0,普通重型-機車,120.938357,23.965194
110年02月01日 13時37分00秒,新北市樹林區新北市樹林區三俊街與俊興街,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,121.419688,25.016484
110年02月01日 16時25分06秒,嘉義縣民雄鄉秀林村溪底寮82號前,死亡1;受傷0,營業用-曳引車;普通重型-機車,120.464806,23.506232
110年02月01日 20時53分53秒,臺南市仁德區大發路58號前0.0公尺,死亡1;受傷0,普通重型-機車,120.251336,22.984211
110年02月01日 23時52分00秒,臺南市安南區台江大道2段201號,死亡6;受傷0,自用-小客車;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人,120.207324,23.057420
110年02月02日 00時26分00秒,花蓮縣吉安鄉慶豐四街口 / 花蓮縣吉安鄉慶南三街口,死亡1;受傷1,自用-小客車;普通重型-機車,121.570830,23.975420
110年02月02日 07時53分00秒,雲林縣斗南鎮延平路二段與莒光街口,死亡1;受傷0,腳踏自行車-慢車;自用-小貨車(含客、貨兩用),120.475931,23.670112
110年02月02日 08時05分00秒,苗栗縣苑裡鎮舊社里苗130線與德行路口,死亡1;受傷0,自用-小客車;普通重型-機車,120.680642,24.419439
110年02月02日 08時44分00秒,臺北市士林區中山北路5段前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人,121.526360,25.087075
110年02月02日 12時12分00秒,高雄市楠梓區德民路 / 高雄市楠梓區德民路,死亡1;受傷1,普通重型-機車;行人-人,120.298872,22.723846
110年02月03日 01時08分03秒,苗栗縣竹南鎮台61線93.7公里處北上慢車道,死亡1;受傷0,營業用-曳引車;普通重型-機車,120.842473,24.676225
110年02月03日 02時45分00秒,臺南市麻豆區南勢里南勢87之2號,死亡1;受傷0,普通重型-機車,120.272123,23.189311
110年02月03日 08時36分00秒,臺北市士林區承德路4段277巷前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,121.519832,25.089617
110年02月03日 09時30分00秒,臺中市沙鹿區鹿峰里中清路七段北側 / 臺中市沙鹿區鹿峰里三民路,死亡1;受傷0,自用-大貨車;自用-小客車;營業用-半聯結車,120.575650,24.251770
110年02月03日 18時51分00秒,屏東縣崁頂鄉港東2號橋往南防汛道路旁水溝(台電電桿后廍90R41L9T3182EA20),死亡1;受傷0,普通輕型-機車,120.478403,22.516677
110年02月04日 09時17分00秒,嘉義縣中埔鄉富收村富裕路128號前0.0公尺附近,死亡1;受傷0,普通重型-機車,120.481528,23.447948
110年02月04日 11時14分00秒,高雄市岡山區成功路 / 高雄市岡山區成功路,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.300574,22.810926
110年02月04日 12時46分00秒,嘉義縣義竹鄉溪州村台19線91.45公里,死亡1;受傷0,自用-小貨車(含客、貨兩用),120.245420,23.398974
110年02月04日 14時34分00秒,嘉義縣大林鎮國道1號 251公里500.0公尺處北側向內側,死亡1;受傷3,自用-小客車;乘客-人;乘客-人;乘客-人,120.432739,23.591355
110年02月04日 18時40分00秒,臺南市玉井區台3線 371公里500.0公尺處西側向外側,死亡1;受傷0,自用-小客車;行人-人,120.477655,23.135629
110年02月04日 18時56分58秒,新竹縣湖口鄉國道1號 84公里700.0公尺處北側向外側,死亡1;受傷0,行人-人;民營公車-大客車,121.064183,24.876976
110年02月04日 19時12分52秒,桃園市八德區廣興路641號前0.0公尺附近,死亡1;受傷0,普通重型-機車;行人-人,121.283737,24.946916
110年02月05日 07時03分00秒,臺南市佳里區南47 2公里500.0公尺處,死亡1;受傷0,普通重型-機車,120.210043,23.173928
110年02月05日 07時35分00秒,彰化縣秀水鄉金興村番花路 / 彰化縣秀水鄉金興村正興路,死亡1;受傷2,普通重型-機車;普通重型-機車;乘客-人,120.524454,24.014461
110年02月05日 09時30分38秒,雲林縣北港鎮好收里雲162公路與產業道路口,死亡1;受傷0,營業用-小貨車(含客、貨兩用);普通重型-機車,120.288198,23.595787
110年02月05日 11時10分00秒,雲林縣東勢鄉四美村四美,死亡1;受傷0,普通重型-機車,120.247094,23.726362
110年02月05日 13時06分26秒,雲林縣二崙鄉定安村田寮(田寮28東17K2463FB32電桿),死亡1;受傷0,普通重型-機車;自用-小客車;自用-小貨車(含客、貨兩用),120.406220,23.815579
110年02月05日 13時57分00秒,彰化縣鹿港鎮洋厝里鹿草路3段 / 彰化縣鹿港鎮洋厝里新厝巷,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.447937,24.090128
110年02月05日 18時16分11秒,宜蘭縣頭城鎮吉祥路142號前0.0公尺北側,死亡1;受傷1,自用-小客車;行人-人;行人-人,121.817545,24.859386
110年02月05日 18時22分00秒,新北市板橋區新北市板橋區民生路3段40號,死亡1;受傷0,普通重型-機車;腳踏自行車-慢車;營業用-曳引車;民營客運-大客車,121.467479,25.024923
110年02月05日 18時22分00秒,高雄市岡山區大仁北路 / 高雄市岡山區大仁北路,死亡1;受傷1,普通重型-機車;電動自行車-慢車;自用-小客車,120.302375,22.792739
110年02月05日 18時58分00秒,臺中市豐原區翁子里豐勢路2段245巷前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人,120.741628,24.263455
110年02月05日 19時14分00秒,新北市板橋區新北市板橋區長江路1段105巷與環河西路,死亡1;受傷1,普通重型-機車;普通重型-機車,121.459465,25.029749
110年02月06日 06時30分00秒,桃園市觀音區工業七路10號前0.0公尺,死亡1;受傷0,營業用-大貨車;普通重型-機車,121.106436,25.052765
110年02月06日 07時21分00秒,臺北市萬華區大理街 / 臺北市萬華區雙園街,死亡1;受傷0,自用-小客車;行人-人,121.493091,25.032270
110年02月06日 08時20分00秒,臺南市將軍區忠嘉里南21線3.5公里,死亡1;受傷0,普通重型-機車;自用-小客車,120.155169,23.201761
110年02月06日 09時11分00秒,高雄市前鎮區中山四路 / 高雄市前鎮區凱旋四路,死亡1;受傷0,營業用-曳引車;普通輕型-機車,120.315436,22.596791
110年02月06日 10時11分39秒,臺南市仁德區保安里文賢路2段45號,死亡1;受傷2,普通重型-機車;自用-小貨車(含客、貨兩用);乘客-人;乘客-人,120.238128,22.920915
110年02月06日 11時37分36秒,桃園市中壢區圓光路2段口 / 桃園市中壢區大莊路,死亡1;受傷2,自用-小客車;普通重型-機車;乘客-人,121.172724,25.007968
110年02月06日 16時43分00秒,新北市鶯歌區新北市鶯歌區堤外道路1K+000,死亡1;受傷0,普通重型-機車;營業用-曳引車,121.350000,24.950000
110年02月07日 02時55分12秒,花蓮縣豐濱鄉台11線 47公里200.0公尺處東側向外側,死亡1;受傷0,自用-小客車,121.529255,23.617886
110年02月07日 13時33分00秒,南投縣鹿谷鄉股聲巷9號附近,死亡1;受傷0,普通重型-機車,120.782616,23.720794
110年02月07日 18時24分51秒,臺南市仁德區中洲路陸橋國道一號上方,死亡1;受傷0,普通重型-機車;動力機械-其他車,120.263852,22.909759
110年02月07日 19時09分37秒,臺南市永康區王行路1102-10號,死亡1;受傷0,遊覽車-大客車;行人-人;計程車-小客車,120.274093,23.052105
110年02月07日 22時30分00秒,彰化縣彰化市國道1號 195公里500.0公尺處南側向內側,死亡2;受傷3,自用-小客車;自用-小貨車(含客、貨兩用);乘客-人;乘客-人;乘客-人;乘客-人,120.553436,24.099005
110年02月08日 07時39分00秒,新竹縣竹北市莊敬南路口 / 新竹縣竹北市成功十街,死亡1;受傷0,電動自行車-慢車;自用-小客車,121.020040,24.816348
110年02月08日 07時46分00秒,高雄市林園區石化三路9號前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-大貨車,120.405849,22.487654
110年02月08日 10時50分01秒,花蓮縣壽豐鄉中山路6段170號,死亡1;受傷1,行人-人;普通重型-機車,121.512510,23.875915
110年02月08日 11時22分22秒,高雄市仁武區國道10號 4公里300.0公尺處東側向外側,死亡1;受傷1,營業用-大貨車;租賃車-小客車;營業用-大貨車;營業用-半聯結車;乘客-人,120.351552,22.685030
110年02月08日 12時28分00秒,臺北市萬華區萬板大橋往台北市前0.0公尺,死亡1;受傷0,普通輕型-機車;民營公車-大客車,121.491043,25.029496
110年02月08日 14時56分00秒,高雄市阿蓮區中正路 / 高雄市阿蓮區中正路,死亡1;受傷0,普通輕型-機車;營業用-曳引車,120.333100,22.880690
110年02月08日 15時34分00秒,高雄市楠梓區德中路 / 高雄市楠梓區大學二十九路,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.277277,22.723132
110年02月09日 17時11分47秒,臺南市關廟區五甲里南雄路1段附近 / 臺南市關廟區五甲里南雄路1段口,死亡1;受傷2,計程車-小客車;普通重型-機車;自用-小客車;乘客-人,120.333128,22.945183
110年02月09日 18時47分00秒,南投縣集集鎮投54 3公里500.0公尺處,死亡1;受傷0,行人-人;自用-小客車,120.758129,23.830873
110年02月09日 19時02分00秒,彰化縣鹿港鎮洋厝里新厝巷前0.0公尺,死亡1;受傷0,普通重型-機車,120.454415,24.086760
110年02月10日 06時01分00秒,彰化縣和美鎮月眉里和港路552號前0.0公尺,死亡1;受傷0,腳踏自行車-慢車;自用-小客車,120.489818,24.131780
110年02月10日 07時44分00秒,屏東縣東港鎮興和里和東路27號前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車,120.480905,22.485999
110年02月10日 10時58分00秒,屏東縣竹田鄉東西七路與過溝二路,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.515782,22.615991
110年02月10日 12時40分00秒,彰化縣芬園鄉舊社村大彰路5段前0.0公尺,死亡1;受傷0,普通重型-機車,120.595087,24.028328
110年02月10日 13時30分00秒,臺中市大雅區員林里神林路一段520巷前0.0公尺,死亡1;受傷0,自用-小客車,120.661814,24.244196
110年02月10日 16時03分00秒,嘉義縣六腳鄉蘇厝村縣道145線47.5公里與蘇厝村無名道路口,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.296300,23.555674
110年02月10日 19時00分00秒,臺南市學甲區新榮里華宗路210號前0.0公尺,死亡1;受傷0,行人-人;自用-小客車;自用-小客車,120.183495,23.225389
110年02月10日 19時24分00秒,臺中市南區崇倫里崇倫街 / 臺中市南區崇倫里西川一路,死亡1;受傷0,自用-小客車;行人-人,120.655996,24.127821
110年02月10日 19時57分00秒,高雄市三民區九如三路 / 高雄市三民區中庸街,死亡1;受傷1,自用-小客車;普通重型-機車;普通重型-機車;民營客運-大客車,120.285336,22.643770
110年02月11日 00時24分50秒,高雄市田寮區國道3號 371公里100.0公尺處南側向外側,死亡1;受傷0,自用-小客車;自用-小客車;自用-小貨車(含客、貨兩用),120.381735,22.851159
110年02月11日 04時46分00秒,高雄市路竹區中山路226之1號前0.0公尺,死亡2;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車;自用-小客車;乘客-人,120.259500,22.855590
110年02月11日 06時16分00秒,新北市泰山區新北市泰山區大科路350002燈桿處,死亡1;受傷1,普通重型-機車;行人-人,121.398532,25.058785
110年02月11日 06時24分00秒,高雄市大社區中山路 / 高雄市大社區金龍路,死亡1;受傷0,營業用-小貨車(含客、貨兩用);行人-人,120.353701,22.731153
110年02月11日 08時02分52秒,花蓮縣瑞穗鄉台9線 251公里200.0公尺處南側,死亡1;受傷2,自用-小客車;乘客-人;乘客-人,121.377562,23.534391
110年02月11日 11時10分00秒,屏東縣屏東市和生路2段186號前0.0公尺,死亡1;受傷0,電動輔助自行車-慢車;自用-小客車,120.480580,22.652803
110年02月11日 15時32分00秒,南投縣仁愛鄉投71 17公里20.0公尺處附近,死亡1;受傷0,普通重型-機車,121.047116,23.914570
110年02月11日 16時40分17秒,宜蘭縣礁溪鄉匏杓崙路132號前0.0公尺,死亡1;受傷1,自用-小客車;乘客-人,121.713216,24.808378
110年02月11日 20時12分00秒,桃園市中壢區普仁里中山東路1段口 / 桃園市中壢區普仁里甘肅二街口,死亡1;受傷0,普通重型-機車,121.235279,24.955487
110年02月12日 02時19分00秒,臺南市新營區嘉芳里復興路東側 / 臺南市新營區嘉芳街,死亡1;受傷1,電動自行車-慢車;自用-小客車;乘客-人,120.285313,23.309081
110年02月12日 04時02分00秒,屏東縣內埔鄉東寧村德光巷(路燈編號912-02209),死亡1;受傷0,普通重型-機車,120.561492,22.614317
110年02月12日 08時25分00秒,桃園市楊梅區老莊路800號前0.0公尺,死亡1;受傷0,自用-小客車,121.165369,24.881085
110年02月12日 14時29分00秒,高雄市阿蓮區玉庫里無名路玉庫282電桿號前0.0公尺,死亡1;受傷1,普通重型-機車;乘客-人,120.310300,22.850110
110年02月12日 15時40分00秒,彰化縣大城鄉山腳村鐵樹巷前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,120.318026,23.840901
110年02月12日 15時55分00秒,嘉義市西區北新里世賢路1段420號前0.0公尺,死亡1;受傷1,腳踏自行車-慢車;普通重型-機車,120.454930,23.481443
110年02月12日 17時11分00秒,屏東縣枋山鄉台9線 451公里500.0公尺處南側向內側,死亡1;受傷7,自用-小客車;自用-小客車;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人,120.702129,22.206985
110年02月12日 22時11分00秒,彰化縣福興鄉秀厝村南環路3段前500.0公尺西側,死亡1;受傷0,普通重型-機車,120.425372,24.035457
110年02月12日 22時22分00秒,臺北市中正區汀州路1段136號前0.0公尺,死亡1;受傷0,普通重型-機車;行人-人;計程車-小客車,121.508073,25.029433
110年02月13日 04時13分00秒,臺北市萬華區和平西路3段 / 臺北市萬華區廣州街,死亡1;受傷1,自用-小客車;行人-人,121.496965,25.036721
110年02月13日 06時00分36秒,新竹市東區東大路橋往食品匝道口,死亡1;受傷0,自用-小客車,120.977131,24.803769
110年02月13日 13時32分52秒,雲林縣斗南鎮建國一路南側 / 雲林縣斗南鎮文化街東側,死亡1;受傷0,自用-小客車;普通重型-機車,120.478224,23.683628
110年02月13日 16時15分00秒,臺中市大安區中庄里中松路85號前0.0公尺,死亡1;受傷0,普通重型-機車,120.588791,24.348886
